Park Name,County,Park Identifier,Park Address,City,Zip,Phone,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
"MINT CANYON MOBILE MANOR, LLC",LOS ANGELES,19-0995-MP,"16408 SIERRA HWY,  CANYON COUNTRY,  CA 91351", CANYON COUNTRY,91351, (805) 388-2829,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27,0,0,"SMITH, GREGORY & JAMES, PO BOX 716, CAMARILLO, CA 93011"
GOLDEN STATE MOBILE LODGE,LOS ANGELES,19-0996-MP,"22600 S NORMANDIE AVE,  TORRANCE,  CA 90502", TORRANCE,90502, (310) 320-3454,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",53,0,0,"GOLDEN STATE MOBILE LODGE LP, 14751 PLAZA DR SUITE # H, TUSTIN, CA 92780"
BAR G INN,LOS ANGELES,19-0997-MP,"14815 CERRITOS AVE,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 529-8870,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50,0,0,"MOLLER, FRITZ, 14815 CERRITOS AVE #B, BELLFLOWER, CA 90706"
GLENAIR MHP,LOS ANGELES,19-0998-MP,"1700 S GLENDORA AVE,  GLENDORA,  CA 91740", GLENDORA,91740, (626) 963-1015,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50,0,0,"STEPHANIE SCOTT RESIDENCE TRUST, 320 N. PARK VISTA ST. - OFFICE, ANAHEIM, CA 92806"
CANDLEWOOD,LOS ANGELES,19-0999-MP,"10745 VICTORIA AVE,  WHITTIER,  CA 90604", WHITTIER,90604, (562) 941-0170,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",91,0,0,"JOHN A. DEFALCO MANAGMENT CO., 842 S. WUCLID ST, FULLERTON, CA 92832"
EL MONTE MOBILE AIR,LOS ANGELES,19-1001-MP,"1517 MERCED AVENUE,  EL MONTE,  CA 91733", EL MONTE,91733, (818) 350-6367,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",77,0,0,"D H PROPERTIES LLC, C/O COMMUNITY ASSET MGMT PO BOX 3670, ONTARIO, CA 91761"
CANYON PALMS MHP,LOS ANGELES,19-1002-MP,"18323 SOLEDAD CANYON RD,  SANTA CLARITA,  CA 91351", SANTA CLARITA,91351, (805) 252-2770,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",45,0,0,"MAHONEY, MICHAEL, 2041 SAN REMO, LAGUNA BEACH, CA 92651"
YAWATA MOBILE HOME PARK,LOS ANGELES,19-1004-MP,"1212 W 135TH ST,  GARDENA,  CA 90247", GARDENA,90247, (213) 770-3177,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10,0,0,"AMUSEMENT INDUSTRY INC, 520 W WILLOW ST, LONG BEACH, CA 90806"
IDLE WHEELS TP,LOS ANGELES,19-1005-MP,"1201 W 228TH ST,  TORRANCE,  CA 90502", TORRANCE,90502, (310) 378-5743,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"228 TP LLC, 3850 TIFFANY LANE, TORRANCE, CA 90505"
FOX MHP,LOS ANGELES,19-1008-MP,"14904 LAKEWOOD BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (562) 434-1671,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"STEWART, JASON, 1129 GAVIOTA AVE, LONG BEACH, CA 90813"
WELCOME GARDENS MOBILE HOME PARK,LOS ANGELES,19-1009-MP,"630 S MAPLE AVE,  MONTEBELLO,  CA 90640", MONTEBELLO,90640, (323) 728-5748,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",67,0,0,"GGK, LLC, PO BOX 1919, RANCHO CUCAMONGA, CA 91729"
VILLA PARK MOBILE ESTATES,LOS ANGELES,19-1011-MP,"6475 ATLANTIC AVE,  LONG BEACH,  CA 90805", LONG BEACH,90805, (562) 422-3140,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",432,0,0,"LB VILLA PARK, LLC, C/O LES FRAME MANAGEMENT, INC 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
ARROW PINES MOBILE ESTATES,LOS ANGELES,19-1012-MP,"1081 W. ARROW HIGHWAY,  AZUSA,  CA 91702", AZUSA,91702, (626) 334-4427,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",103,0,0,"ARROW PINES ASSET PARTNERS LP, PO BOX 2308, LAGUNA HILLS, CA 92654"
CAPRI MHP,LOS ANGELES,19-1013-MP,"2436 W LOMITA BLVD,  LOMITA,  CA 90717", LOMITA,90717, (714) 248-0554,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"EICHE, DENNIS, 24040 CAMINO DEL AVION #A293, MONARCH BEACH, CA 92629"
POLYNESIAN MHP,LOS ANGELES,19-1014-MP,"23450 NEWHALL AVE,  NEWHALL,  CA 91321", NEWHALL,91321, (805) 259-2101,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",144,0,0,"POLYENSIAN MOBILE HOME PARK LLC, 23450 NEWHALL AVE, NEWHALL, CA 91321"
VAN SETTEN MHP,LOS ANGELES,19-1015-MP,"9045 E ALONDRA BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 866-3334,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8,0,0,"VANSETTEN, LOLA, 9621 CLOVERWOOD ST, BELLFLOWER, CA 90706"
BALDWIN MP,LOS ANGELES,19-1016-MP,"13972 E FRANCISQUITO AVE,  BALDWIN PARK,  CA 91706", BALDWIN PARK,91706, (818) 338-9318,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,"DENNIS EICHE ENT, 24040 CAMINO DEL AVION PMB 293, MONARCH BEACH, CA 92629"
ARBOR MOBILE VILLAGE,LOS ANGELES,19-1017-MP,"300 E ARBOR ST,  LONG BEACH,  CA 90805", LONG BEACH,90805, (310) 422-3666,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",64,0,0,"STEELE BOGGS KENDALL & FABECK, 80 S LAKE AVE SUITE # 719, PASADENA, CA 91101"
BELMONT SHORES MOBILE ESTATES,LOS ANGELES,19-1019-MP,"6230 MARINA VIEW DRIVE,  LONG BEACH,  CA 90803", LONG BEACH,90803, (562) 431-4132,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",347,0,0,"WESSEX INVESTMENTS LLC, 2716 OCEAN PARK BLVD SUITE # 2025, SANTA MONICA, CA 90405"
ROYAL OAKS MHP,LOS ANGELES,19-1020-MP,"18145 W SOLEDAD CANYON RD,  SANTA CLARITA,  CA 91351", SANTA CLARITA,91351, (805) 252-1626,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",87,0,0,"WEISS, HENRY, 18145 SOLEDAD CANYON RD, CANYON COUNTRY, CA 91351"
CREST MOBILE MANOR,LOS ANGELES,19-1023-MP,"3727 N EQUATION RD,  POMONA,  CA 91767", POMONA,91767, (909) 593-5031,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",141,0,0,"WORLEY, RICHARD, 625 ESPLANADE #53, REDONDO BEACH, CA 90277"
HARBOR TP,LOS ANGELES,19-1024-MP,"22503 MEYLER ST,  TORRANCE,  CA 90502", TORRANCE,90502, (909) 593-5031,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34,0,0,"DZIKOWSKI, STANISLAW, PO BOX 1265, LOMITA, CA 90717"
SANTA FE MOBILE HOME PARK,LOS ANGELES,19-1026-MP,"10484 VALLEY BLVD,  EL MONTE,  CA 91731", EL MONTE,91731, (626) 625-5977,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",93,0,0,"JDH CAPITAL LLC, 22231 MULHOLLAND HWY #101, CALABASAS, CA 91302"
POMONA ISLANDER,LOS ANGELES,19-1027-MP,"3667 W VALLEY BLVD,  POMONA,  CA 91768", POMONA,91768, (909) 595-2121,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",227,0,0,"POMONA ISLANDER LP, 478 NEPTUNE, ENCINITAS, CA 92024"
BEST TRAILER PARK,LOS ANGELES,19-1029-MP,"5602 LONG BEACH BLVD,  LONG BEACH,  CA 90805", LONG BEACH,90805, (562) 422-5757,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",169,7,0,"DZIKOWSKI INVESTMENTS LLC, 33175 TEMECULA PKWY, STE A #343, TEMECULA, CA 92592"
LAS BRISAS I,LOS ANGELES,19-1030-MP,"400 E ARBOR STREET,  LONG BEACH,  CA 90805", LONG BEACH,90805, (562) 423-5267,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",80,0,0,"SHEPHERD, DONALD, 400 EAST ARBOR STREET ATTN:OFFICE, LONG BEACH, CA 90805"
STAR MOBILEHOMES,LOS ANGELES,19-1033-MP,"356 W REDONDO BEACH BLVD,  GARDENA,  CA 90248", GARDENA,90248, (310) 323-3563,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",30,0,0,"KAJIKAWA, SADAO, 3601 MICHELLE DR, TORRANCE, CA 90503"
GOLDEN STATE MOBILE HOME PARK,LOS ANGELES,19-1035-MP,"16601 S GARFIELD AVE,  PARAMOUNT,  CA 90723", PARAMOUNT,90723, (562) 634-2109,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",108,0,0,"GOLDEN STATE MHP, LLC, 2723 W COAST HWY, NEWPORT BEACH, CA 92663"
WESTLAND TRAILER CITY,LOS ANGELES,19-1036-MP,"6665 LONG BEACH BLVD,  LONG BEACH,  CA 90815", LONG BEACH,90815, (310) 639-7130,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",106,99,0,"ALEVY WESTLAND MHP LLC, 520 W WILLOW ST, LONG BEACH, CA 90806"
HI LEA VILLAGE MOBILE HOME PARK,LOS ANGELES,19-1037-MP,"1560 S OTTERBEIN,  ROWLAND HEIGHTS,  CA 91748", ROWLAND HEIGHTS,91748, (626) 964-4515,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",188,0,0,"STODDARD, RICHARD, 478 NEPTUNE AVE, ENCINITAS, CA 92024"
COAST MHP,LOS ANGELES,19-1038-MP,"24815 S NORMANDIE,  HARBOR CITY,  CA 90710", HARBOR CITY,90710, (310) 325-1500,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",95,0,0,"DZIKOWSKI, TED, 33175 TEMECULA PKWY STE A #343, TEMECULA, CA 92592"
CHARTER OAK MOBILE ESTATES,LOS ANGELES,19-1040-MP,"801 W COVINA BLVD,  SAN DIMAS,  CA 91773", SAN DIMAS,91773, (909) 599-2939,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",185,0,0,"CITY OF SAN DIMAS, 245 EAST BONITA AVENUE, SAN DIMAS, CA 91773"
LILY OF THE VALLEY,LOS ANGELES,19-1041-MP,"29021 BOUQUET CANYON RD,  SAUGUS,  CA 91350", SAUGUS,91350, (805) 296-8540,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",181,0,0,"BOGGS, KENDALL, AND STEELE, 80 SO LAKE AVE 719, PASADENA, CA 91101"
ALLSTATE TRAILER VILLAGE CT,LOS ANGELES,19-1042-MP,"1925 CRENSHAW BLVD,  TORRANCE,  CA 90501", TORRANCE,90501, (805) 296-8540,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",27,0,0,"FRANICH, PATRICIA, 404 PASEO DEL MAR, PALOS VERDES ESTATES, CA 90274"
SKYLARK TORRANCE MHP,LOS ANGELES,19-1044-MP,"1820 TORRANCE BLVD,  TORRANCE,  CA 90501", TORRANCE,90501, (310) 328-6381,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",33,0,0,"STOCKTON, DOLORES, 1875 CENTURY PARK EAST #600, LOS ANGELES, CA 90067"
KNOLLS LODGE,LOS ANGELES,19-1047-MP,"23701 WESTERN AVE,  TORRANCE,  CA 90501", TORRANCE,90501, (310) 326-1000,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",257,0,0,"KNOLLS LODGE, LP, KNOLLS LODGE, LP 320 N. PARK VISTA ST., ANAHEIM, CA 92806"
SKYLINE MP,LOS ANGELES,19-1050-MP,"2550 PACIFIC COAST HWY,  TORRANCE,  CA 90505", TORRANCE,90505, (805) 296-8540,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",265,0,0,"SKYLINE MOBILE PARK, GENERAL PARTNERSHIP, 2550 PACIFIC COAST HWY, TORRANCE, CA 90505"
SOUTHWOOD MOBILE ESTATES,LOS ANGELES,19-1051-MP,"20550 S EARL ST,  TORRANCE,  CA 90503", TORRANCE,90503, (310) 371-5444,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",48,0,0,"COMMISO, RALPH, 20550 S EARL ST #13, TORRANCE, CA 90503"
SOUTH BAY MOBILE ESTATES,LOS ANGELES,19-1052-MP,"18801 HAWTHORNE BLVD,  TORRANCE,  CA 90503", TORRANCE,90503, (310) 518-5220,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",99,0,0,"18801 HAWTHORNE, LLC, 2716 OCEAN PARK BLVD., #2014, SANTA MONICA, CA 90405"
TORRANCE MOBILEHOME PARK,LOS ANGELES,19-1053-MP,"1900   ARTESIA BLVD,  TORRANCE,  CA 90504", TORRANCE,90504, (310) 329-1674,"CITY OF TORRANCE FIRE DEPARTMENT, 3031 TORRANCE BLVD., TORRANCE, CA 90503","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",66,0,0,"TORRANCE MHP, 2141 E. BROADWAY RD #105, TEMPE, AZ 85282"
DEL AMO TP,LOS ANGELES,19-1058-MP,"4895 OREGON AVE,  LONG BEACH,  CA 90805", LONG BEACH,90805, (310) 422-2884,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",146,0,0,"LES FRAME ENTERPIRSES, INC, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
SHADY ACRES MHP #315,LOS ANGELES,19-1059-MP,"5533 LONG BEACH BLVD,  LONG BEACH,  CA 90805", LONG BEACH,90805, (562) 423-0540,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",107,0,0,"MOBILE HOME GROUP II, LP, 4900 SANTA ANITA AVE SUITE # 2C, EL MONTE, CA 91731"
WAYSIDE TP,LOS ANGELES,19-1060-MP,"234 E 47TH ST,  LONG BEACH,  CA 90805", LONG BEACH,90805, (310) 428-0633,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50,0,0,"DIVERSIFIED INCOME PROPERTIES L.P, 44104 ROYAL TROON DR, INDIO, CA 92201"
GRANDVIEW MOBILEHOME PARK,LOS ANGELES,19-1062-MP,"4071 GRANDVIEW BLVD,  LOS ANGELES,  CA 90066", LOS ANGELES,90066, (310) 559-2671,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24,0,0,"MATSUAOKA, ROY, 4080 HURON AVE, CULVER CITY, CA 90232"
BRADBURY VISTA MHP,LOS ANGELES,19-1063-MP,"1030 BRADBOURNE AVE,  DUARTE,  CA 91008", DUARTE,91008, (310) 390-4604,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",44,0,0,"DUARTE HOME PARK LLC, 19 ALLYSSUM, RANCHO SANTA MARGARITA, CA 92688"
BIGS MHP INC,LOS ANGELES,19-1093-MP,"1461 W MISSION BLVD,  POMONA,  CA 91766", POMONA,91766, (714) 974-0397,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",113,0,0,"BIG S PARTNERS, 22880 SAVI RANCH PARKWAY, YORBA LINDA, CA 92887"
ROSE VILLA MHP,LOS ANGELES,19-1094-MP,"1329 W MISSION BLVD,  POMONA,  CA 91766", POMONA,91766, (626) 377-0638,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34,0,0,"YANG, WAYNE, PO BOX 3363, CITY OF INDUSTRY, CA 91744"
POMONA MOBILE ESTATES,LOS ANGELES,19-1095-MP,"1052 E MISSION BLVD.,  POMONA,  CA 91766", POMONA,91766, (909) 720-4649,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",71,0,0,"WUO, KATHY, PO BOX 734, CORONA DEL MAR, CA 92625"
HI FI MH PLAZA,LOS ANGELES,19-1096-MP,"1010 W HOLT BLVD,  POMONA,  CA 91768", POMONA,91768, (909) 629-6907,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",98,0,0,"APPEL, ALBERT, 3771 SEASCAPE DR, HUNTINGTON BEACH, CA 92649"
WOODLAWN MOBILE HOME PARK,LOS ANGELES,19-1098-MP,"1096 E MISSION BLVD,  POMONA,  CA 91765", POMONA,91765, (626) 387-9886,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",31,0,0,"MISSION TRUST/INCOME ESTATES LLC, 449 W. FOOTHILL BLVD. STE. 149, GLENDORA, CA 91741"
THUNDERBIRD MP,LOS ANGELES,19-1099-MP,"1761 E MISSION BLVD,  POMONA,  CA 91766", POMONA,91766, (909) 720-4649,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",61,0,0,"WUO, KATHY, PO BOX 734, CORONA DEL MAR, CA 92625"
VALLEY CENTER TRAILER ESTATES,LOS ANGELES,19-1100-MP,"1111 PRICE AVE,  POMONA,  CA 91767", POMONA,91767, (909) 469-2798,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",59,0,0,"STEEN, DICK, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
LOS AMIGOS MOBILE ESTATES,LOS ANGELES,19-1101-MP,"20806 S GRIDLEY RD,  LAKEWOOD,  CA 90715", LAKEWOOD,90715, (310) 860-0205,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",71,0,0,"THE MARY MITSUUCHI TRUST, C/O LES FRAME MANAGEMENT, INC 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
PACIFIC PALISADES BOWL MOBILE ESTATES,LOS ANGELES,19-1103-MP,"16321 PACIFIC COAST HWY,  PACIFIC PALISADES,  CA 90272", PACIFIC PALISADES,90272, (310) 454-2515,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",173,0,0,"PACIFIC PALISADES BOWL MOBILE ESTATES, 4341 ABERNATHY RD., FAIRFIELD, CA 94534"
SIERRA SPRINGS VILLAGE DE LLC,LOS ANGELES,19-1104-MP,"7560 WOODMAN PL,  VAN NUYS,  CA 91405", VAN NUYS,91405, (818) 785-6266,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",148,0,0,"WILLIAMSON, DANIEL, PO BOX 13643, CHANDLER, AZ 85248"
TAHITIAN TERRACE,LOS ANGELES,19-1105-MP,"16001 PACIFIC COAST HWY,  PACIFIC PALISADES,  CA 90272", PACIFIC PALISADES,90272, (310) 454-7557,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",158,0,0,"AZUL PACIFICO INC, 16001 PACIFIC COAST HWY, PACIFIC PALISADES, CA 90272"
SHELTER ISLE MOBILE ESTATES,LOS ANGELES,19-1107-MP,"10965 GLENOAKS,  PACOIMA,  CA 91331", PACOIMA,91331, (818) 896-1400,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",260,0,0,"HELMS-HOWARD INC, 127 W. ORTEGA STREET, SANTA BARBARA, CA 93101"
TAHITIAN MHP,LOS ANGELES,19-1108-MP,"15445 COLBALT AVE,  SYLMAR,  CA 91342", SYLMAR,91342, (818) 367-7100,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",236,0,0,"TAHITIAN PARTNERS LLC, 320 N PARK VISTA STREET, ANAHEIM, CA 92806"
SUNBURST MOBILE HOME ESTATES,LOS ANGELES,19-1109-MP,"21001 PLUMMER ST,  CHATSWORTH,  CA 91311", CHATSWORTH,91311, (818) 341-3737,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",118,0,0,"BROTT, JAMES, 6255 N. SHERIDAN RD #33, CHICAGO, IL 60660"
ARROW MOBILE HOMEPARK,LOS ANGELES,19-1116-MP,"1523 W 259TH ST,  HARBOR CITY,  CA 90710", HARBOR CITY,90710, (310) 207-1600,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15,0,0,"HELENA, FONTAINE, 1523 W. 259TH ST. SPACE # B9, HARBOR CITY, CA 90710"
